(u'2000-06', -1.9727749606656513)
(u'1985-09', -1.6519829043890333)
(u'1993-06', -2.218556064033077)
(u'1978-05', 0.005809540647815581)
(u'1961-07', -0.55735002830383)
(u'1958-07', -0.079665739710439)
(u'1996-05', -2.698968371537222)
(u'2009-12', -1.594655769031951)
(u'2010-07', 2.218296383090639)
(u'1995-04', -0.6221793708302612)
(u'1979-11', 0.7541750133229614)
(u'1953-11', 1.6897447236955068)
(u'2001-09', -0.3806072112546932)
(u'1957-06', -0.9948006209558091)
(u'1954-03', 0.38137727962371715)
(u'1967-12', -2.849499307479021)
(u'1956-09', 0.0727064685668335)
(u'2004-11', -1.0316639786065285)
(u'1979-02', -2.826517265536426)
(u'2007-10', -0.6906752160626946)
(u'1991-08', 0.7819376244461669)
(u'1950-10', -0.2879616520931574)
(u'2003-03', 2.700561515606916)
(u'2004-02', 2.5019627737768646)
(u'1969-10', 0.8535803222558629)
(u'1982-04', 0.9150126753989891)
(u'1980-02', -2.7297234343676053)
(u'2009-01', 1.4512112085922964)
(u'1952-05', -1.6319071487675512)
(u'1997-11', -0.5566252918022645)
(u'1953-02', 0.1361922955283985)
(u'1994-10', -1.3556393938063183)
(u'1974-01', 3.973752854646695)
(u'1984-06', -1.1896304577856274)
(u'1990-03', 5.776010577920719)
(u'1997-02', 3.6131220303528675)
(u'1951-04', -0.0009661268135889856)
(u'1972-07', 2.0891808636236995)
(u'1986-08', -1.8894283097330913)
(u'1980-11', -2.291888261962903)
(u'1974-12', 2.6912942866088807)
(u'2005-05', -0.3025687596724964)
(u'1967-01', -1.518977803292613)
(u'2006-04', 0.03746458815834064)
(u'1983-10', 0.5592703391753471)
(u'1955-08', 3.5784692767680095)
(u'1987-03', -3.6110628609368334)
(u'1968-04', 2.4794104919468056)
(u'2000-08', -0.9714321808653956)
(u'1993-08', -2.535492537983984)
(u'1964-11', 0.48021191187456047)
(u'2011-02', -0.9412393844001374)
(u'1986-06', 0.46494557846655127)
(u'1988-04', -0.6378623940636459)
(u'1973-02', 3.8369596328843762)
(u'1998-12', 0.03214793880028677)
(u'2012-03', 4.686759335620543)
(u'1963-10', 0.41401696756175443)
(u'2013-04', -0.3725552444164002)
(u'1965-05', -1.4478756734018834)
(u'1959-02', 2.439041245101869)
(u'2010-09', -0.6817707195150771)
(u'1956-07', 0.32100902412223675)
(u'1983-01', 5.325299912902208)
(u'1976-05', 0.4991263455950339)
(u'1992-07', 0.5824042606932345)
(u'2014-05', 0.3362374350646373)
(u'1984-08', 0.7907093817075097)
(u'1989-03', 4.252897361716781)
(u'2007-01', 3.6883462106849745)
(u'1976-12', -2.1085878164756195)
(u'2002-06', 0.07742408315109017)
(u'1972-09', -1.4722264741296502)
(u'2014-12', 1.180253287929444)
(u'1965-12', -3.4896752214263387)
(u'2012-10', -0.9571614445727921)
(u'1989-10', 0.7373137290173357)
(u'1958-09', 1.3878557292563496)
(u'1994-01', 1.6876628080835274)
(u'1960-02', -1.45101306385576)
(u'1950-01', -1.9604396182945574)
(u'1998-05', -0.06136047278421586)
(u'1971-04', -0.6743398582913716)
(u'1985-07', -0.5179658596994763)
(u'1957-08', -0.03196484945627809)
(u'1961-09', 1.4061985787305353)
(u'1999-11', 1.7456901806506995)
(u'1970-03', -0.9620688798436118)
(u'1977-11', 1.0008529375155866)
(u'1991-06', -3.884221583788264)
(u'1963-03', -2.8449835570342783)
(u'2001-07', 1.5857926425387276)
(u'1962-04', 0.5631058983219868)
(u'1955-06', -1.434336450295005)
(u'1969-01', 0.32352981156290817)
(u'1970-10', -0.26064382240119777)
(u'1950-06', -0.028923429253969957)
(u'1967-08', 0.1933174001339122)
(u'2012-04', -0.18807259857600034)
(u'2011-05', 0.31964940299411104)
(u'2008-07', 0.4531529730599182)
(u'1969-06', 1.4996920059824994)
(u'2002-01', 3.1454461206182076)
(u'2007-06', 0.04547148952254787)
(u'1975-07', 1.8717242737848636)
(u'2013-03', -3.093518937241446)
(u'1988-03', -1.30014089784811)
(u'1972-11', 1.3629796343481595)
(u'1971-03', -1.4741190312182226)
(u'1991-01', 3.192752931809301)
(u'1998-02', 5.919754398483185)
(u'1958-11', 2.0111902817356206)
(u'1962-10', 0.8749750661723867)
(u'1965-02', -0.15217346174985735)
(u'1999-09', 2.9942849217898946)
(u'1970-04', -2.1007711263449123)
(u'1994-06', -1.8625563837115617)
(u'2010-11', -2.6312036560745877)
(u'1983-06', -0.7535897665927234)
(u'1961-11', 0.9798036797558014)
(u'1962-03', -4.361117079393504)
(u'1973-12', -0.6211193300826061)
(u'2011-12', 3.131945612775315)
(u'2009-08', 0.22658145420034081)
(u'1963-04', -0.5640171512101033)
(u'2014-02', 5.462312909390688)
(u'1964-09', -0.44036687336122426)
(u'2013-10', 1.1156628412880858)
(u'1973-05', 0.560450243888452)
(u'1959-12', 1.5570082736613773)
(u'1960-12', 2.1566787041667856)
(u'1988-10', -1.4186939973416104)
(u'1974-08', -0.09878921826224207)
(u'1989-04', 1.00052181100944)
(u'1977-09', -1.5222916446252341)
(u'1959-05', 1.0031936528359928)
(u'1971-10', 0.486973438386781)
(u'1960-05', 1.4803345833822004)
(u'1966-07', 0.3374554873722744)
(u'1986-01', -1.5039521082656413)
(u'1976-02', 1.878383888210004)
(u'1955-01', 0.38945747219850846)
(u'1950-03', 2.238629067922684)
(u'2013-06', -0.4600493189154875)
(u'1985-05', 0.17808129214735935)
(u'1969-03', -4.103066629280964)
(u'2012-12', -3.0654684101518876)
